questions,answers
what did susan atkins die of?,"Brain tumor, Cancer"
what type of currency does brazil use?,Brazilian real
who plays tommy oliver in power rangers?,Jason David Frank
what year did dwight howard won the slam dunk contest?,2007–08 NBA season
what were hitler's parents names?,"Alois Hitler, Klara Hitler"
when was the first pope of the catholic church?,"Paul the Apostle, Saint Peter"
what did amerigo vespucci explore?,Americas
what currency do i bring to cuba?,Cuban peso
what kind of government does mongolia?,"Semi-presidential system, Parliamentary republic"
what are some native american holidays?,Tom Selleck
where did jesse james die?,Saint Joseph
where is spain located what continent?,Europe
what are the two major religions in canada?,"Protestantism, Catholicism, Islam"
what kind of government do the canadians have?,"Parliamentary system, Federation, Constitutional monarchy, Multi-party system"
what happened to sir thomas cromwell?,Decapitation
who plays stewie griffin's voice?,Seth MacFarlane
who did butler beat last night?,Stephano
what are the mountains in peru called?,Andes
which kardashians are having babies?,Kim Kardashian
what team does plaxico burress play for?,Pittsburgh Steelers
where english is spoken in the world?,"Canada, Australia, South Africa, Zambia, United Kingdom, Zimbabwe, Uganda, New Zealand, Turks and Caicos Islands, Tanzania"
where is victoria beckham from?,Harlow
what office does paul ryan hold?,United States Representative
what country is the iberian peninsula located in?,"Portugal, Spain"
who is daniel in the bible?,"Prophet, Writer"
who played marty mcfly's dad?,George McFly
what is george washington's legacy?,"United States Military Academy, Society of the Cincinnati, Continental Army, Culper Ring, United States Army Corps of Engineers"
who is jojo simmons mother?,Evelyn Simmons
where do cherry trees grow in the united states?,"Washington, D.C."
who plays john connor in terminator salvation?,Christian Bale
what country was osama bin laden killed in?,Abbottabad
where did james cook go on his voyages?,A voyage to the Pacific Ocean
who won the governor election in michigan?,Rick Snyder
where did heidi klum and seal get married?,Mexico
who created the chinese communist party?,China's Communist Party: Atrophy and Adaptation
what timezone is new england usa in?,North American Eastern Time Zone
what happened to rev. robert schuller?,"Televangelist, Writer"
who plays the voice of meg in family guy?,"Lacey Chabert, Mila Kunis"
what form of government does north korea?,Juche
where is located cornell university?,Ithaca
who speaks arabic language?,"Tunisia, Eritrea, Saudi Arabia, Comoros"
who played the parents in ferris bueller day off?,Cindy Pickett
where james madison was born?,Port Conway
when was the last time iran invaded another country?,Iran–Iraq War
what did the ottoman empire look like?,"Austria-Hungary, Kingdom of Bulgaria, German Empire"
who is jeff probst ex wife?,Shelly Wright
where is tsonga born?,Le Mans
what island is bethany hamilton from?,Lihue
what is paige halliwell's powers?,"Teleportation, Orbing"
what city is the state capital of washington?,Olympia
what does shawn johnson do?,Gymnast
what was the reagan administration known for?,The conservative revolution in America
where did nadia boulanger live?,Paris
what airport do you fly into maui?,Kahului Airport
who does mark sanchez play for?,New York Jets
what sea does the yangtze river empty into?,East China Sea
what are the main imports and exports of afghanistan?,"Fruit and Tree Nut Farming, Carpet and Rug Mills, Opium"
what type of government germany have?,"Constitutional republic, Multi-party system, Federal republic, Democracy, Parliamentary republic"
what is there to do in montpelier vt?,"Jed's Maple, Karmê Chöling, Vermont Icelandic Horse Farm, Cold Hollow Cider Mill, Down To Earth Worm Farm of Vermont, Mount Mansfield, Ben & Jerry's Waterbury Factory, Spider Web Farm, Weathered Barn Doll Museum, Vermont State House"
who is the leader of japan right now?,Shinzō Abe
what movies were michael clarke duncan?,"American Crude, Air Buddies, A Crush on You, Brother Bear, Back in Business, A Night at the Roxbury, Breakfast of Champions, Bulworth, Armageddon, Brother Bear 2"
in which city was president kennedy killed?,Dallas
where is martin cooper from?,United States of America
what is charlie sheen's dad's name?,Martin Sheen
what office does boehner hold?,Member of Congress
where do the baltimore ravens play?,M&T Bank Stadium
what sport do the harlem globetrotters play?,Basketball
who was betty white married too?,"Lane Allen, Allen Ludden, Dick Barker"
where is danish located?,"Denmark, Greenland"
what is the best neighborhood to live in dallas?,"Convention Center District, City Center District, Government District, Arts District, West End, Belmont, Main Street, Farmers Market, Reunion, Bryan Place"
who plays mary jane in spiderman 2?,Kirsten Dunst
what languages do scottish people speak?,"Scottish Gaelic language, Scots Language, English Language, Scottish English"
what types of government does france have?,"Semi-presidential system, Constitutional republic, Unitary state"
where is mount st helens?,"Skamania County, Washington"
who are the players on the toronto maple leafs?,Phil Kessel
in which continent is russia?,Eurasia
what to do in ottawa ontario today?,"Bytown Museum, Canada Aviation and Space Museum, Nepean Museum, Billings Estate Museum, Canadian Museum of Contemporary Photography, National Gallery of Canada, Canada Agriculture Museum, Canada Science and Technology Museum, Canadian Ski Museum, Canadian Museum of Nature"
where did paul ryan live?,Janesville
who is galileo galilei and what is he famous for?,"Mathematician, Astronomer, Scientist, Physicist, Astrologer"
what is the money currency in guatemala?,Guatemalan quetzal
where is angola located?,Africa
what is tibetan language?,"Nepali Language, Standard Tibetan, Chinese language, Baima language, Tibetan languages"
what is the national flag of russia?,Flag of Russia
what sort of government does canada have?,Parliament of Canada
what country does mexico trade with?,North American Free Trade Agreement
what form of government does australia?,"Parliamentary system, Federation, Constitutional monarchy"
what are the official languages of jamaica?,"Jamaican Creole English Language, Jamaican English"
which country did james cook sailed for?,Kingdom of Great Britain
what is the capital of oregon?,Salem
what do spain call their money?,Euro
who did james franco play on general hospital?,Franco
which party did lincoln belong to?,"Illinois Republican Party, Republican Party, National Union Party, Whig Party"
who plays saruman in lord of the rings?,Christopher Lee
where is the best place to visit in the bahamas?,"Inagua, Freeport, Cat Island, Bahamas, Ragged Island, Bahamas, Mayaguana, Bimini, Exuma, Long Island, Harbour Island, Acklins and Crooked Islands"
what teams did shaq play 4?,"Boston Celtics, Miami Heat, LSU Tigers men's basketball, Los Angeles Lakers, Orlando Magic"
what currency does turkey accept?,Turkish lira
who was vice president under lincoln?,"Andrew Johnson, Hannibal Hamlin"
what state is the george washington university in?,"Washington, D.C."
where did paul ryan attend college?,Miami University
who is ronaldo playing for now?,Sport Club Corinthians Paulista
what color are the arizona cardinals uniforms?,"Black, White, Cardinal"
when was george h.w. bush elected president?,1/20/1993
where the seneca indians lived?,New York
which country does irish language come from?,Irish
what did the harlem renaissance created?,Harlem Renaissance Dialogues (Part 1): Living and Writing Black History
where did mendeleev died?,Saint Petersburg
where is glastonbury uk?,"United Kingdom, Mendip"
what language did ancient romans write in?,Latin Language
what team does diego forlan currently play for?,Sport Club Internacional
what to do downtown san francisco?,"Fisherman's Wharf, Golden Gate Park, Coit Tower, Presidio of San Francisco, Crissy Field, San Francisco Ferry Building, Alcatraz Island, Baker Beach, Lombard Street, Golden Gate Bridge"
what kind of cancer did bob marley died from?,Acral lentiginous melanoma
what religion did jesus christ follow?,Judaism
who was luke skywalker played by?,Mark Hamill
who does the voice of kovu in lion king?,Jason Marsden
where did theodore roosevelt live before he became president?,New York City
what year was tom brady drafted?,1999
what party is bloomberg affiliated with?,Independent
where was saint paul from?,"Tarsus, Mersin"
what is the capital city of germany now?,Berlin
what countries does japan export to?,"Canada, Sudan, Tanzania, United States of America, Kiribati, New Zealand"
what continent is syria located in?,Asia
what events does stephanie rice compete in?,"Swimming at the 2012 Summer Olympics – Women's 400 metre individual medley, Swimming at the 2008 Summer Olympics - Women's 200 metre Individual Medley, Swimming at the 2008 Summer Olympics - Women's 400 metre Individual Medley"
what happened to nelson mandela after he was released from jail?,President of South Africa
where did charlton heston live?,"St. Helen, Wilmette, Los Angeles, Evanston"
what region is thailand located in?,"Eurasia, Southeast Asia, Asia"
who was president when the us navy department was established?,William McKinley
where to visit in orlando florida?,"SeaWorld Orlando, Orlando Science Center, Cornell Fine Arts Museum, Charles Hosmer Morse Museum of American Art, Universal Studios Florida, Orlando Museum of Art, Harry P. Leu Gardens, Arboretum of the University of Central Florida, Holy Land Experience, Universal Orlando"
who are all the american idol winners and runner ups?,"Carrie Underwood, Lee DeWyze, David Cook, Phillip Phillips, Kelly Clarkson, Ruben Studdard, Kris Allen, Taylor Hicks, Jordin Sparks, Fantasia"
what was alexander graham bell known for?,Telephone
what band did joe satriani play in?,"Greg Kihn Band, Deep Purple, Chickenfoot, The G3 Jam"
what did mitch hedberg od on?,Heroin overdose
who did u.s. fight against in ww1?,"United Kingdom, Australia, Italy, Russia, France"
which three countries share a land border with cambodia?,"Vietnam, Cambodia, Laos & the Greater Mekong"
what country was juan ponce de leon from?,Santervás de Campos
where to go in florida for vacation?,Miami
what college did steve nash play basketball for?,Santa Clara University
who plays shao kahn?,Frank Welker
what did douglas engelbart invent?,Mouse
where did chef chuck hughes go to school?,University of Texas at El Paso
what did james madison wrote?,"The Invasion of Canada, The great little Madison, American Compact: James Madison and the Problem of Founding, The War of 1812, James Madison: Writings, James Madison: The American Presidents, James Madison and the creation of the American Republic, The Life Of James Madison, Sailor of fortune, The flag maker"
where is fiat abarth made?,Turin
where was tommy steele born?,Bermondsey
what does chad michael murray play in?,"Renee, Megiddo: The Omega Code 2, House of Wax, The Lone Ranger, Home of the Brave, A Cinderella Story, The Haunting in Connecticut 2: Ghosts of Georgia, Lies in Plain Sight, Freaky Friday"
what are some important events in ancient egypt?,"Kitos War, Battle of Fariskur, Fifth Crusade, Operation Brevity, Western Desert Campaign, Battle of al-Babein, Seventh Crusade, Operation Crusader, Battle of Abukir, Suez Crisis"
